image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",pick the triangle that has vertical stripes inside it (not the wavy-lined triangle or the star).,"**Describing a target object**

I'm in a situation where I need to accurately describe a target object, which is a triangle with vertical stripes and a black outline. My challenge is to help the listener pick it out among other shapes, like a wavy triangle and a wavy star. I can't use spatial references like ""bottom right"", so I need a concise phrase. I’ll make it unique by pointing out the fill pattern: ""the triangle with vertical stripes inside, not the one with the wavy pattern or star"" should work.","['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",pick the gray-and-white checkerboard picture with the blue border.,"**Considering unique properties**

I think we should focus on properties that are likely unique across all nine options, even though we can't know the hidden ones. We need to describe objects as specifically as possible with visible properties like patterns, colors, and borders. For example, we could mention the ""gray checkerboard pattern with the blue square border."" 

However, we should avoid using spatial references like ""next to"" in relation to curtains. It’s tricky, but I want to make sure I get it right!",['square'],['checker'],False,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the grey circle that has white wavy stripes inside and a red outline.,"**Navigating object descriptions**

I'm a reference-game speaker, and I need to describe a target object: a wavy grey circle with a red outline. I can't use spatial terms like ""bottom-left,"" so I need clear, unique descriptors. I can mention other visible objects like a blue-outlined star and a black-outlined star. Since some things are behind curtains, I have to ensure my description is still clear, avoiding phrases like ""only circle."" Instead, I'll emphasize its unique attributes and patterns to distinguish it.","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",pick the blue-outlined square with the gray-and-white checkerboard pattern.,"**Describing target object**

I'm working on a reference game where I need to describe a target object within a grid without using purely spatial terms. I've identified three shapes: there’s a triangle with a black border and grey dots at the top middle, a green star with a dotted interior on the bottom left, and a blue star with vertical stripes in the middle. The target is in the bottom right, described as ""the blue-outlined square with a gray-and-white checkerboard pattern."" Nothing is hidden by a curtain here.",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the grey square with wavy lines and a blue outline.,"**Describing target shapes**

I'm analyzing a 3x3 grid with various shapes. The top row has a blue triangle and a red square, while the middle row might be empty. The bottom row features a blue star and a dashed square. I can't use spatial terms like ""bottom middle"" to describe the target; instead, I should focus on its unique features. I can refer to it as ""the wavy square"" or ""grey square with wavy stripes and blue outline"" for clarity.",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the circle that has a gray checkerboard pattern inside and a thick black outline.,"**Defining a referring expression**

I need to create a referring expression for the target object, which is the checkerboard circle with a black outline. I should avoid using spatial terms like above, below, left, or right. Instead, I can focus on unique properties, describing it as ""the gray checkerboard circle with a thick black outline."" I also need to ensure it's not confused with the wavy circle that has a red border to keep it clear.","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",pick the vertically striped circle with the red outline (not the one with the blue outline).,"**Describing target objects**

I'm working on a reference game, and I need to identify the target object located in the lower-left area—a striped circle with a red border. However, there's a dashed red box around it. There's also a similar circle outlined in blue. The curtains above are obscuring some objects, so I have to be careful not to reference spatial locations like ""bottom left."" I must focus on the object's unique properties to distinguish it without making assumptions about hidden objects.","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the blue-outlined triangle with vertical stripes inside.,"**Describing the target shape**

I'm focusing on the target, which is a dashed red box around a specific shape: a blue-outlined triangle with vertical stripes in grey and white. My goal is to provide a description that helps the listener uniquely identify it among other visible objects—like a green square, a red square, a blue star, and a green circle, all with wavy patterns. To keep it concise, I'll refer to it as ""the blue-outlined triangle with vertical stripes.""","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",pick the circle that has grey wavy lines inside and a red outline.,"**Crafting a distinguishing description**

I’m in a ""speaker in a reference game,"" where I need to describe an object for the listener to identify it. The challenge is to avoid mentioning spatial locations since the arrangement can differ. I have a 3x3 grid where my target is a grey circle with white wavy stripes and a red outline. There’s also another visible object, but I need to focus on providing a succinct description without referencing hidden items. So, I’ll say, “the grey circle with the wavy pattern and red border.”","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","pick the square with vertical gray-and-white stripes, framed by a thick red border (not the dotted circle).","**Describing grid layout**

I’m seeing a 3x3 grid where some squares are blank, some have images, and there are two with red curtains and question marks, which are unknowns. The target is a vertical square with grey stripes and a red border. I need to describe it in a way that doesn’t depend on hidden content, since the listener might not see what’s behind those curtains. I can only use visible shapes like the circular polka dots and the striped square to ensure clear identification.",['square'],['stripe'],True,True,True
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","pick the gray square with repeating white wavy lines (a wave pattern), not the one with straight vertical stripes.","**Inspecting the grid layout**

I'm thinking about the 3x3 grid and how we should explore it. There are multiple arrangements and configurations to consider, which is exciting! I wonder what patterns we might uncover or how we can use this grid effectively. The layout could offer insights, and I'm curious about how to visualize or apply it. Let’s dive into the details and see where this takes us!",['square'],"['wavy', 'zigzag']",True,False,True
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",select the gray triangle with the wavy pattern and thick black outline.,"**Generating descriptions for shapes**

I need to create a non-spatial referring expression for a target shape, which is a triangle with a wavy fill. The objects have a grid layout with various designs: two dotted circles in red and green outlined at the top, a vertical striped circle in red outline in the middle, and the target triangle and a star with a similar pattern right below. I think I could describe the target as ""the gray wavy triangle"" to distinguish it clearly.","['triangle', 'triangular']","['wavy', 'zigzag']",True,True,True
