image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","Select the **upright triangle** with a thick black outline that’s filled with **vertical gray stripes** (not the wavy-filled triangle, and not the star).","**Describing a triangle**

I need to create a description for a triangle that has vertical stripes. It needs to be clear: I should describe it as a thick black outline of a triangle that is filled with straight, vertical gray stripes. It's important that I specify it shouldn’t be wavy and definitely not star-shaped. I want to make sure the description is precise and conveys the right image."
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","Select the square tile that shows a gray-and-white checkerboard pattern, outlined with a thick blue border.","**Considering design elements**

I need to refer to a checkerboard pattern that features a blue border. I want to avoid spatial descriptions and focus on the colors. So, I’ll mention that there's a grey and white checker pattern inside a square that’s framed with blue. This way, I’m keeping it clear and specific without getting too complicated! I think that will convey the image well."
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","Select the **circular icon**: a **grey circle with a reddish outline**, filled with a **repeating white wavy (zigzag) pattern**.","**Describing the target cell**

I’m focusing on the bottom-left cell, which has a distinct wavy pattern within a grey circle bordered in red. I want to highlight its unique features without referring to its spatial position. It catches the eye due to the contrasting colors and the swirling design that creates a sense of movement. This makes it stand out among other cells, drawing attention in a visually striking way. Let’s ensure the description captures its essence effectively!"
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Select the **square tile with a gray-and-white checkerboard pattern and a thick blue border**.,"**Thinking about pattern and shape**

I need to focus on the target: a checkerboard square with a blue border. It’s interesting how shapes and patterns come together to create something visually intriguing. I should emphasize the contrast between the blue border and the checkerboard pattern when describing it. OK, let's ensure that the details are clear and precise so that whoever I'm discussing this with can easily visualize it."
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with a **gray-and-white wavy (zigzag/wave) pattern**.,"**Describing the target cell**

I need to provide a description of the bottom middle cell. It’s characterized by a square shape with a blue border, which gives it a defined outline. The pattern inside features a wavy grey-white design that adds texture and visual interest. This should create a clear mental image without getting into spatial details. I want to ensure the description is precise and captures the essence of the cell accurately."
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle** with a **thick black outline** and a **gray-and-white checkerboard pattern** filling the inside.,"**Describing the target design**

I need to describe this target clearly. It's a top view of a circle that has a thick black outline and a checkered fill. This fill should be a gray checkerboard pattern, giving it that unique look. I want to ensure my description is non-spatial and unambiguous so that it’s easy for anyone to visualize. The focus is to accurately convey the design elements without confusion."
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circle filled with vertical gray stripes that has a **red outline** (not the identical striped circle with the blue outline).,"**Describing target objects**

I'm focusing on the target object: the bottom-left circle, which has a red outline and vertical gray stripes. There's also a similar bottom-right circle with a blue outline. I want to clearly describe the red-outlined striped circle while avoiding any spatial references. I should definitely mention the color of the border being red to help clarify the details for the user! Let's keep this clear and straightforward."
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","Select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes** (no wavy pattern).","I'm trying to refer to a specific target object, which is a blue triangle outline featuring vertical gray stripes inside it. It’s important that I describe this without any spatial references. I want to focus on the features of the triangle and the stripes separately, emphasizing their colors and patterns. This way, I’ll give a clear picture of what the object looks like in a straightforward manner."
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","Select the circle with a **red outline** that’s filled with **gray wavy (zigzag) stripes**, like a repeating wave pattern.","**Describing target features**

I need to describe a target, focusing on the top-left cell which has a red outline and gray wavy stripes. It’s important to avoid any spatial references and instead emphasize the unique features. So, I’ll highlight the striking red border and the interesting wavy pattern, which gives it a distinctive look. I want to make sure my description is clear and captures these attributes effectively for anyone reading it!"
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",Select the square tile that shows evenly spaced vertical gray stripes (like a barcode) inside a thin red border.,"**Describing image target**

I'm focusing on describing the target image, which has vertical grey stripes within a square, bordered by a red outline. I'll ensure to keep it non-spatial, so I won't be talking about where it is or any context outside the image itself. Just the colors and the pattern need to come through clearly in the description! I want to make sure it conveys the look effectively, even without spatial references."
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Select the square tile with a black border that’s filled with repeating gray-and-white wavy (zigzag) stripes, like a ripple pattern.",none
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Select the **black-outlined triangle** filled with **gray wavy (zigzag) horizontal lines**.,"**Describing a triangle design**

I need to create a referential description of a triangle design. The triangle has a black outline and is filled with grey wavy lines. I should do this without mentioning its spatial arrangement. It's interesting to note how this triangle differs from other shapes like stars or circles, which have their own unique qualities. I’ll focus on the distinctiveness of the triangle in this context."
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","Select the **white square filled with evenly spaced gray polka dots**, framed by a **solid red border**.","**Describing a patterned square**

I need to describe a square design. I'm thinking about a square filled with evenly spaced grey dots set against a white background, and, of course, it has to be outlined in red. I want to make sure I avoid mentioning any specific location in the description. My focus is on capturing the patterns and colors clearly, so anyone reading it can visualize the style effectively!"
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",Select the **five-point star with a thick red outline** and a **gray-and-white checkerboard pattern inside**.,"**Describing a star design**

I want to describe a target object that’s a red outlined star. It's a five-point star, which definitely stands out! The border is red, making it quite striking, and the interior features a gray and white checkerboard pattern. That combination of colors and patterns gives it a unique look. I think this description captures the essence of the object really well, and I'll make sure to convey that clearly!"
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",Select the upright triangle with a **green outline** and a **light gray interior filled with small dark polka dots** (not the blue-outlined triangle with the checkerboard pattern).,"**Describing the target shape**

I'm thinking about how to describe a triangle with a green outline and filled with grey dots. I want to avoid spatial references as much as possible. It might be helpful to compare it to another triangle that has a blue outline and a checkerboard pattern. I also need to mention that the curtains are hidden. I’ll figure out the best way to use referring expressions to make everything clear."
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",Select the **square** tile with a **green border** that’s filled with **gray polka dots** (evenly spaced dots on a light background).,"**Describing the target object**

I need to focus on describing a green square that has gray polka dots. I want to mention the shape and the border without referring to any spatial elements. So, I'll keep the description straightforward, highlighting that it's a square shape and that it features those gray dots. It's all about making it clear and easy to picture in the user’s mind while staying on point."
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",Select the **five-point star** with a **bright green outline** and a **gray vertically striped interior**.,"**Describing a target object**

I need to describe a target object in detail without using spatial references. It's a green outlined star, which has grey vertical stripes inside it. For instructions, I should focus on ensuring clarity in the description and avoid mentioning where it is located or how it relates to other objects. I want the user to get a clear understanding of the object's features based solely on its colors and shapes."
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",Select the five-pointed star icon: it has a thick blue outline and a light gray center filled with small dark polka dots.,"**Describing the target icon**

I need to describe a blue outlined star that has grey polka dots. It’s important to make it clear what I mean when I say, “select star icon.” Also, I want to avoid mentioning any specific location in my description. I think it will be helpful to keep the focus on the visual characteristics of the star itself, so that it’s easy for someone to imagine exactly what I’m referring to."
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",Select the upright triangle with a **red outline** that’s filled with **small gray polka dots**.,"**Describing the target object**

I need to describe the target object clearly. It has a top middle triangle with a red border that's dotted inside. So, I would say it's a red-outlined triangle filled with gray polka dots. This should capture the visual details accurately for someone trying to imagine it! It’s a fun combination of colors and patterns, and it keeps it simple while being descriptive. Let's make sure it’s easy to visualize!"
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",Select the upright triangle with a thick black outline that’s filled with small gray polka dots (dotted pattern inside).,"**Describing a target shape**

I need to describe a triangle with a pattern of grey dots. I'll mention that it has a black outline and a polka-dotted fill, which sounds appealing and fun. My reference should clearly instruct on this shape without focusing on its spatial aspects, so I’ll keep it straightforward and precise. I want to make sure the description conveys the right visual imagery for the user to understand easily!"
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",Select the **upright triangle** with a **thick red outline** and **vertical gray-and-white stripes** inside.,"**Describing visuals**

I need to reference a specific shape: a red outlined triangle featuring vertical gray stripes. Instead of using its position in relation to other elements, I'll focus solely on providing a clear description of that triangle. It's important to paint a vivid picture that captures its essence without relying on spatial relationships. This way, anyone reading will have a clear mental image of what I’m describing!"
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",Select the **square** with a **thick black outline** that’s filled with **vertical gray stripes** (no stars or dots).,"**Describing visual elements**

I need to refer to a specific target, focusing on the top-right square which has a dashed red box around it. It features a thick black border and vertical gray stripes inside. I want to provide a clear description while avoiding any spatial references. It’s interesting how sometimes just visual elements convey so much, yet I'm working to keep it simple and straight to the point for clarity."
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",Select the **circle with a green outline** that’s filled with **small gray polka dots** (not the blue-outlined circle with a checkerboard pattern).,"**Describing target design**

I need to describe a target that includes a green outlined circle filled with grey polka dots. I should also mention that there’s another circle, which is blue and has a checker pattern. So my focus is on specifying the green circle with the polka dot fill clearly, ensuring it's visually distinct from the blue checker circle. This way, everything should be clear for anyone reading the description!"
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2","Select the upright triangle with a bright green outline, filled with vertical gray stripes.","**Describing a triangle**

I need to refer to a triangle that's outlined in green and has vertical gray stripes. It's interesting to describe this in a non-spatial way, focusing on the appearance instead. So, I'll mention the triangle as having a green border and being striped. The color combination can create a unique visual effect — it’s a blend of geometric design and color that can evoke different feelings. Let’s make sure to capture those details clearly!"
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",Select the image showing a five-pointed star with a blue outline and gray polka dots inside it (not the gray checkerboard square).,"**Describing a star design**

I'm thinking about conveying a target that features a blue outlined star with dots, but I want to avoid getting too spatial in my description. Instead, I should mention another visible element, like a checkerboard, to add contrast. I want to make sure my description is unique, so I'll focus on the characteristics of the star and how it interacts with the checkerboard pattern, creating a visually interesting composition."
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",Select the **five-point star with a thick black outline and a gray-and-white checkerboard pattern inside** (not the star filled with vertical stripes).,"**Choosing star designs**

I’m thinking I need to focus on a star with a checkered interior while avoiding any spatial descriptions. The star should have a black outline, filled with a gray checkerboard pattern. There’s also another design with vertical stripes, but I want to emphasize selecting the star with the checkered pattern for clarity. It looks visually appealing and distinct! So, let's go with that one."
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",Select the five-point star with a bright blue outline and a gray checkered (checkerboard) pattern filling the center.,"**Describing an object**

I'm focusing on how to describe the target object. I realize I need to say it simply and clearly, avoiding any spatial references. So I'll phrase it as ""a blue outlined five-point star with a checkered gray center."" That gives a straightforward visual without complicating things. It's essential to keep language clear and effective for whoever will be reading or visualizing this description."
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",Select the triangle with a thick blue outline and a light gray interior filled with dark gray polka dots.,"**Describing the target shape**

I need to describe a blue outlined triangle that has gray dots. I’ll focus on the shape itself, which is a triangle, and detail the border color being blue. The fill pattern should be clear as well, but I want to avoid any spatial descriptions that might confuse the user. Overall, I'm emphasizing the triangle’s attributes, specifically its outline color and the presence of those gray dots, to create a vivid picture."
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the **circle with a red outline** that’s filled with a **gray-and-white wavy (zigzag) pattern**.,"**Describing a target object**

I need to describe the target object clearly. It’s a red outlined circle that features a wavy pattern in gray and white. I want to ensure that the description is non-spatial—focusing on the characteristics of the design rather than its placement or physical context. By emphasizing the colors and the distinct pattern, I’m aiming to create a vivid mental image for anyone reading my description."
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",Select the **circle with a thick green outline** that’s filled with a **gray wavy/zigzag pattern** (like repeating squiggles).,"**Describing a design element**

I'm going to describe a target that features a green border in a circular shape. It has a wavy pattern in gray superimposed on a white background. The key element here is to ensure I convey this non-spatially, avoiding exact measurements or positions. I want to provide an effective visual representation so it's clear and easy to understand for anyone looking at it!"
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",Select the image showing a **green-outlined circle** filled with a **gray-and-white checkerboard (chessboard) pattern**.,"**Describing a tile design**

I'm thinking about how to describe a design without using any spatial terms. I need to focus on the top middle tile's features, which has a green outlined circle surrounding a gray checkerboard pattern. I'll emphasize the unique aspects of these colors and shapes. The distinct combination of the green outline and the gray checkerboard definitely stand out and create an interesting visual contrast. So, I'll make sure to convey that effectively!"
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3","Select the **hollow triangle with a red outline**, filled with **vertical gray stripes**.","**Describing a triangle**

I'm focusing on a specific design: it's a red outlined triangle with vertical gray stripes inside. I need to emphasize that the triangle's outline color is red, which makes it quite striking. The vertical gray stripes inside add an interesting texture and contrast, making the overall shape stand out even more. I’ll make sure to portray this clearly when I share the description. It’s all about capturing that visual!"
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",Select the five-pointed star with a bright green outline and gray vertical stripes inside.,"**Describing a unique target**

I need to describe a target that's a green outlined star with gray vertical stripes inside. It’s important to focus on what makes it unique without mentioning any spatial elements. I should really emphasize how the colors contrast and make the overall design stand out. Also, the combination of the star shape and the stripes adds an interesting texture to it. Keeping it simple and clear will help convey the distinctiveness well!"
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3","Select the **polka-dotted square**: a light gray square filled with evenly spaced dark gray dots, surrounded by a **reddish border** (square frame).","**Describing a target cell**

I need to provide a description for the target, which is the bottom-left cell. It's a square shape with a red border surrounding it. The design features gray polka dots on its surface. I’ll focus on this non-spatial description while making sure to convey the appearance clearly. It’s important to highlight these visual characteristics without mentioning any specific location or context. Let's ensure it’s well-described and easy to understand!"
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2",Select the five-point star with a **thick black outline** and a **light gray interior filled with dark gray polka dots** (not the similar star with the green outline).,"**Describing the target star**

I need to describe a target that’s a black outlined star with grey polka dots, making sure to clarify that it’s not green. I should also note that there are two stars; one has a green outline and the other has a black outline. The focus is on the target, which is specifically the black outlined star. I’ll keep it simple and clear, without any spatial descriptions getting in the way!"
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",Select the five-pointed star with a bright green outline and a white interior filled with small gray polka dots.,"**Describing the star shape**

I need to describe a target that’s a green outlined star with a polka dot interior. I want to provide this description to someone without spatial references. So, I’ll focus on the shape, color, and pattern. It’s a star with a bright green outline, and inside, it has colorful polka dots. I think it's important to capture the fun aspect of the polka dots while keeping it clear and effective for the listener!"
