image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought_summary,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought_summary,listener_answer_correct,listener_answer_none
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",the target is a triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",the target is the checkered square with a blue border.,,['square'],['checker'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the target is the circle in the bottom left, the only circle in the image.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,FALSE,FALSE,"1, 3",,TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",the object i want you to select is in the bottom right corner. it is a checkerboard pattern outlined in blue.,,['square'],['checker'],FALSE,TRUE,TRUE,"3, 3",,TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",the object i'm referring to is a square with a blue border that contains a grey pattern of horizontal wavy lines.,,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",the object is a black-bordered circle filled with a gray and white checkerboard pattern.,,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3","the image you're looking for is the one with the red dashed outline. it's in the bottom left corner of the grid, showing a grey circle with vertical white stripes inside.",,"['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",the target is the blue triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"3, 1",,TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","the target image is the gray circle with squiggly lines inside, outlined in red.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,FALSE,"1, 1",,TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",the object is a square with gray and white vertical stripes.,,['square'],['stripe'],TRUE,FALSE,TRUE,"3, 2",,TRUE,
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","the target is a square with a black border, containing a wavy pattern of alternating light gray and dark gray horizontal stripes.",,['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3","the shape in the bottom row, second column, is a triangle.",,"['triangle', 'triangular']","['wavy', 'zigzag']",TRUE,FALSE,FALSE,"2, 3",,TRUE,
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","the target is the square with the dotted pattern, located to the right of the chessboard.",,['square'],['dot'],TRUE,FALSE,TRUE,"3, 2",,TRUE,
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",the target is the star with a red outline and a checkered pattern inside.,,['star'],['checker'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",the target is the green-outlined triangle filled with grey dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",the target object is a square with a green border and gray polka dots inside. it is located directly below the space between the blue and red circles.,,['square'],['dot'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3",the object i'm referring to is the green star with vertical stripes inside.,,['star'],['stripe'],TRUE,TRUE,TRUE,"2, 3",,TRUE,
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1","the target is in the top left corner, and it's a blue star with a dotted gray fill.",,['star'],['dot'],TRUE,TRUE,TRUE,"1, 1",,TRUE,
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",the target is the red-outlined triangle filled with gray dots.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",the target is the top-left image. it's a triangle filled with grey dots.,,"['triangle', 'triangular']",['dot'],TRUE,FALSE,TRUE,"1, 1",,TRUE,
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",the target is the red-bordered triangle with vertical grey and white stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",the target is the square in the top right corner.,,['square'],['stripe'],TRUE,FALSE,FALSE,"3, 1",,TRUE,
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",the target is the green-outlined circle filled with gray dots.,,"['circle', 'circular']",['dot'],TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",the target is the green-outlined triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,"1, 2",,TRUE,
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",the target is the star with grey dots inside and a blue outline.,,['star'],['dot'],TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1","the target is a star with a checkerboard pattern inside it, in the top left square.",,['star'],['checker'],TRUE,FALSE,TRUE,"1, 1",,TRUE,
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",the target is the star with a checkered pattern inside.,,['star'],['checker'],TRUE,FALSE,TRUE,"1, 3",,TRUE,
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",the target is the blue triangle.,,"['triangle', 'triangular']",['dot'],TRUE,TRUE,FALSE,"1, 1",,TRUE,
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3","the target is the gray circle with wavy lines, outlined in red.",,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"1, 3",,TRUE,
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",the target is a circle with a green outline and a grey wavy pattern inside.,,"['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,"3, 2",,TRUE,
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1","the target object is a circle that has a checkered pattern inside, with a green outline.",,"['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,"2, 1",,TRUE,
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",the object is a triangle with vertical stripes.,,"['triangle', 'triangular']",['stripe'],TRUE,FALSE,TRUE,"3, 3",,TRUE,
