image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","Select the **upright triangle** that has **vertical gray stripes** inside it (not the triangle with wavy lines, and not the star).","**Describing patterns clearly**

I need to focus on describing the target as a triangle with vertical stripes inside. There's another triangle featuring a wavy pattern and a star that also has a wavy design. I want to avoid any spatial relations in my description while keeping it straightforward and clear. It's crucial to capture these details while ensuring the overall description flows well. Let’s make sure I communicate this effectively!"
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the square showing a gray-and-white checkerboard pattern (like a chessboard) with a thick blue border.,"**Describing the target object**

I need to provide a clear description of the target object without using spatial terms. It sounds like I should mention that it features a grey-and-white checker pattern within a dashed red box. There's also a blue border framing the checkerboard square. My goal here is to give a precise description that captures the essential aspects of the appearance without delving into its position or location. I think this will be helpful!"
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the **circle** that has a **reddish/pink outline** and is filled with a **gray-and-white wavy (zigzag) pattern** inside.,"**Describing the target object**

I need to describe the target object within the dashed red box. It's got a circular red outline and a gray background with white wavy lines. I think it’s important to focus on these unique features, even though I'm not supposed to mention spatial characteristics. So, I’ll highlight how the red outline contrasts with the gray and the intricate details of the white wavy lines to give it some flair."
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Select the square tile with a blue outline and a gray-and-white checkerboard pattern inside.,"**Describing a square design**

I need to create a clear description for a square that has a blue border and a grey/white checkerboard fill. It’s important that I keep it concise and avoid stating absolute positions. I want to ensure the description effectively communicates the visual elements without getting too wordy. That way, it remains straightforward and easy to understand. Let's keep it concise!"
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with **repeating gray-and-white wavy (zigzag) stripes**.,"**Describing grid objects**

I need to come up with a clear description for a 3x3 grid layout. The top left object is a triangle outlined in blue with a checker pattern, and the top middle is a square with a red border that’s checkered. For the bottom left, there's a star with a blue outline and vertical grey stripes, while the bottom middle is a square framed in blue featuring wavy grey and white lines. The target is the bottom middle object, which I need to describe as a ""blue framed square with wavy lines."""
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that’s **filled with a gray-and-white checkerboard pattern** (not the red-outlined circle with wavy lines).,"**Describing target object**

I need to provide a clear description of the target object in an image grid. The focus is on the top-middle cell, which contains a circle with a black outline filled with a grey checkerboard pattern. I want to avoid any spatial references and distinguish it from another circle that has a red outline and wavy fill. So, I’ll say: ""This is a circle with a black border and checkerboard interior (not the wavy red circle)."""
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the circular icon with the **red outline** around the gray vertical stripes (the similar one with a **blue** outline is not the target).,"**Clarifying circle selection**

I need a clear description for the selection task. There's a 3x3 grid shown, but it has some blank squares. The middle row has two curtain squares with question marks and one blank space. In the bottom row, the left has a red outlined circle with vertical gray stripes, and the right has a blue outlined circle with those same stripes. I’ll focus on selecting the circle with the red border, making sure to compare it to the blue one."
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","Select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes** (not the wavy pattern).","**Describing the triangle**

I'm focusing on creating a referential description. The target is the triangle located in the top right cell, which has a distinctive blue border. Inside this triangle, there are vertical grey stripes, setting it apart from other objects that feature wavy patterns. I want to emphasize the triangle's characteristics clearly, without discussing its spatial position, just highlighting the blue outline and the vertical stripes as key identifying features."
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",Select the circular tile with a **red outer ring** and a **gray-and-white wavy (zigzag) pattern** inside.,"**Describing unique circles**

I need to focus on the top-left circle, which features a distinct grey wavy pattern with a red rim encircling it. I want to avoid referencing its location specifically. It's also important to point out the other circle at the bottom-right corner, which has a black rim and polka dots. So, I'm highlighting the uniqueness of the circle with the red outline and the grey wave pattern, as it stands out among the others."
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","Select the visible square that looks like a barcode: vertical gray stripes on a white background, enclosed by a thin red frame.","**Describing target object**

I need to create a referential description for the target object shown in an image. There's a 3x3 grid, with the top-left featuring a circle filled with gray dots and a red outline. The target is a square tile with vertical gray stripes resembling a barcode, all nicely framed with a red border. It's important to mention that this target is visible and not hidden, so the user can easily identify it."
