image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",['Select the triangle with vertical stripes in the bottom-right corner.']
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",['Select the checkered pattern.']
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",['Select the circle with wavy lines.']
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",['Select the checkered square in the bottom-right corner.']
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3","['Select the square with wavy lines, located in the bottom center.']"
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",['Select the circle with the checkerboard pattern.']
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",['Select the circle with the red border.']
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",['Select the triangle with vertical stripes behind the red curtain.']
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","['Select the object with the wavy pattern, located above the red curtain.']"
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",['Select the square with vertical stripes.']
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","['Select the object with the wavy pattern, located in the bottom-left corner.']"
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",['Select the triangle with wavy patterns.']
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","['Select the square with dots, located in the center-right of the grid.']"
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",['Select the star with the checkerboard pattern inside it.']
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",['Select the green triangle with dots.']
exp2_016.jpeg,cond1,absent,absent,2,square,green,dot,"2,3",['I see a square with dots inside a dashed red box. The square is surrounded by a green border. The target is the square with dots.']
exp2_017.jpeg,cond3,present,absent,4,star,green,stripe,"2,3","['Select the green star with vertical stripes, located in the center of the grid.']"
exp2_018.jpeg,cond3,present,absent,3,star,blue,dot,"1,1",['Select the star above the red curtain.']
exp2_019.jpeg,cond4,present,present,3,"triangle, triangular",red,dot,"2,1",['Select the triangle with dots in the top middle.']
exp2_020.jpeg,cond4,present,present,3,"triangle, triangular",black,dot,"1,1",['Select the triangle with dots.']
exp2_021.jpeg,cond1,absent,absent,3,"triangle, triangular",red,stripe,"1,2",['Select the triangle with vertical stripes inside the dashed red box.']
exp2_022.jpeg,cond1,absent,absent,4,square,black,stripe,"3,1",['Select the square with vertical stripes behind the red curtain.']
exp2_023.jpeg,cond2,absent,present,4,"circle, circular",green,dot,"3,2",['Select the circle with gray dots inside the dashed red box.']
exp2_024.jpeg,cond2,absent,present,2,"triangle, triangular",green,stripe,"1,2",['Select the triangle with vertical stripes in the center-left position.']
exp2_025.jpeg,cond3,present,absent,2,star,blue,dot,"1,3",['Select the star.']
exp2_026.jpeg,cond4,present,present,2,star,black,checker,"1,1",['Select the star with a checkered pattern in the top-left corner.']
exp2_027.jpeg,cond3,present,absent,2,star,blue,checker,"1,3",['Select the star.']
exp2_028.jpeg,cond2,absent,present,3,"triangle, triangular",blue,dot,"1,1",['Select the blue triangle with dots in the top-left corner.']
exp2_029.jpeg,cond1,absent,absent,4,"circle, circular",red,"wavy, zigzag","1,3",['Select the circle with wavy patterns.']
exp2_030.jpeg,cond2,absent,present,3,"circle, circular",green,"wavy, zigzag","3,2",['Select the circle with the wavy pattern behind the red curtain.']
exp2_031.jpeg,cond3,present,absent,3,"circle, circular",green,checker,"2,1",['Select the object behind the left red curtain.']
exp2_032.jpeg,cond3,present,absent,4,"triangle, triangular",red,stripe,"3,3",['Select the triangle with vertical stripes.']
exp2_033.jpeg,cond1,absent,absent,3,star,green,stripe,"3,3",['Select the star with stripes in the bottom-right corner.']
exp2_034.jpeg,cond4,present,present,4,square,red,dot,"1,3",['Select the square with dots in the bottom-left corner.']
exp2_035.jpeg,cond4,present,present,3,star,black,dot,"3,2","['Select the black star with a dotted pattern, located in the bottom-right cell.']"
exp2_036.jpeg,cond2,absent,present,4,star,green,dot,"2,1",['Select the green star with dots inside the dashed red box.']
exp2_037.jpeg,cond3,present,absent,3,"triangle, triangular",black,"wavy, zigzag","1,1",['Select the triangle.']
exp2_038.jpeg,cond3,present,absent,2,"circle, circular",red,stripe,"3,3",['Select the circular striped object in the bottom-right corner.']
exp2_039.jpeg,cond4,present,present,4,"triangle, triangular",blue,"wavy, zigzag","3,1",['Select the object that matches the pattern of the triangle with wavy lines.']
exp2_040.jpeg,cond1,absent,absent,4,square,blue,stripe,"1,3","['Select the square with vertical stripes, located in the bottom-left corner.']"
exp2_041.jpeg,cond4,present,present,2,"circle, circular",red,dot,"3,1",['Select the circle with a red border and gray dots in the top-right corner.']
exp2_042.jpeg,cond1,absent,absent,3,"circle, circular",red,"wavy, zigzag","3,3","['Select the circular object with the wavy pattern, located in the bottom-right corner.']"
exp2_043.jpeg,cond2,absent,present,4,star,green,"wavy, zigzag","1,1",['Select the star with wavy patterns.']
exp2_044.jpeg,cond3,present,absent,3,square,red,dot,"1,3",['Select the object that matches the pattern in the top-left circle.']
exp2_045.jpeg,cond1,absent,absent,2,"triangle, triangular",black,stripe,"2,1",['Select the triangle behind the curtain.']
exp2_046.jpeg,cond2,absent,present,4,star,red,"wavy, zigzag","2,1","['Select the star with a red outline and wavy pattern in the top row, center position.']"
exp2_047.jpeg,cond4,present,present,3,square,green,stripe,"1,3",['Select the object behind the red curtain on the bottom right.']
