image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",select the **triangle filled with vertical gray stripes** (not the wavy-pattern triangle or the star).,none,"['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the **gray-and-white checkerboard pattern square** (a grid of alternating light and dark squares) with a **blue border**.,none,['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the **gray circle filled with wavy zigzag lines and outlined with a reddish ring** (not a star or a curtain).,none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the **checkerboard pattern square** — a grid of alternating light and dark gray squares with a **blue border**.,none,['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **square with a thick blue border** that’s filled with **gray-and-white wavy (zigzag) horizontal stripes**.,none,['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard** pattern.,none,"['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the **circle filled with vertical gray stripes that has a red outline** (not the similar one with a blue outline).,none,"['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes** (not the wavy pattern).",none,"['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","select the circle filled with gray wavy zigzag lines, outlined with a thick red ring.",none,"['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","select the square tile that shows **vertical gray stripes** (like a barcode), with a thin red border.",none,['square'],['stripe'],True,True,True
