image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","select the upright **triangle** with a thick black outline that’s filled with **vertical gray stripes** (not the triangle with wavy lines, and not the star).","**Describing game elements**

I need to come up with a description for a reference game. The grid is mostly empty, and we want to highlight specific shapes. There’s an upright triangle with a thick black outline and grey vertical stripes in the bottom right. I need to make sure not to mention anything about a star or wavy patterns. This will clearly convey the target to my partner. Let's keep it straightforward and focused on features!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the square showing a gray-and-white checkerboard (alternating squares) with a thick blue border/frame.,"**Describing the pattern**

I need to describe a checkered pattern square that has a blue border and is arranged in a 3x3 grid. It contains stars, hidden curtains, empty squares, and a wavy pattern. I should focus on describing the checkered look without using relative location. It's important to distinguish it from the wavy pattern. So, I’ll provide the instruction to select the gray-and-white checkerboard square framed with a thick blue border.",['square'],['checker'],True,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3","select the **only circular shape**: a **gray circle filled with wavy zig‑zag lines**, outlined by a **reddish ring**.","**Identifying target features**

I need to create a referring expression for the target in a 3x3 grid. The target is at the bottom row, left, marked by a circular shape with a red rim and a gray wave pattern inside. I’ll focus on its unique features, avoiding absolute positions like ""bottom left."" The circle with the red border and gray wavy stripes should effectively identify the target without confusion. Let's make sure this description is clear and distinct!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3","select the **square** that looks like a **gray-and-white checkerboard**, surrounded by a **thick blue border**.","**Describing object patterns**

I need to create a description that avoids using absolute positions. Let’s see: I’ve got a triangle with a black outline and polka dots, a green star with a dotted interior, and a blue star featuring vertical stripes. The target object is a square with a blue border and a gray-white checkerboard pattern. Oh, I should definitely mention the blue-framed checkerboard square for clarity. Keeping it concise is key!",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3","select the **square with a thick blue border** that’s filled with **gray-and-white wavy (zigzag) horizontal stripes**—it’s the only **wavy-pattern** tile (not a checkerboard, not a star or triangle).","**Describing Object Arrangement**

I need a clear way to describe a 3x3 grid of objects. There are three columns and three rows. The top-left has a blue-outlined triangle with a checkerboard fill, and the top-middle is a red-outlined square also with a checkerboard. The bottom-left features a blue-outlined star filled with vertical stripes, and the bottom-middle has a square with a blue outline and a wavy gray and white pattern. I'll avoid using spatial terms like ""bottom middle"" and instead describe properties to make it unique.",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard (checkered) pattern**.,"**Describing target object**

I need to describe the object in the dashed red box. It's a circle featuring a thick black outline with a checkered gray and white fill; I can't use positional words like ""top."" I also need to make sure to reference unique features, such as mentioning another circle with a red outline and wavy fill. So, I should specifically refer to the black outline circle with the checkerboard pattern and emphasize the thick black border while providing clear instructions.","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the circle filled with vertical gray stripes that has a **red outline** (not the similar striped circle with a blue outline).,"**Describing visual layout**

I need a referential description for a 3x3 grid layout. So, there are two visible circles with vertical gray stripes inside and colored outlines. The target is the bottom-left cell, which has a circle with a red outline, while another similar circle with a blue outline is in the bottom-right. There are also two hidden circles behind curtains in the middle row. I should describe the object nonspatially, like ""striped circle with red border,"" and make sure to specify not mentioning blue.","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **upright triangle with a thick blue outline** that’s **filled with vertical gray stripes** (not the wavy pattern).,"**Describing the target object**

I need to refer to the target object highlighted in the dashed red box. It's an upright triangle with a blue outline and filled with vertical grey stripes. So, I'll focus on its unique features instead of its location. The instruction should clearly convey to choose the blue outlined triangle with vertical grey stripes. It's all about making the description straightforward and easy to understand!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the circle with a **red outline** that’s filled with **gray wavy (zigzag) horizontal lines**.,"**Describing visual features**

I need to provide a detailed description of the top-left circle, which has gray wavy lines and a striking red border. There's also another circle at the bottom-right with a dotted black border. Two curtains are present, but their details are unclear. To stay focused, I should emphasize the unique features of the top-left circle, like its red rim and wavy pattern. Let's put this together in a clear, concise way!","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","select the tile that looks like a **white square filled with evenly spaced vertical gray stripes** (kind of like a barcode), with a thin reddish border around it.","**Clarifying selection instructions**

I need to provide clear instructions for selecting a specific square without referring to spatial arrangements. There's a 3x3 grid, and some squares are blank while others have patterns. My target is the square featuring vertical grey stripes within a red border. I should describe it as a ""rectangular panel with vertical grey stripes, resembling a barcode,"" distinguishing it from patterns like polka dot circles and curtains. The instruction will be to select that specific square.",['square'],['stripe'],True,True,True
