image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",Select the **triangle filled with vertical gray stripes** (not the wavy-pattern triangle or the star).,none
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",Select the **gray-and-white checkerboard pattern square** (a grid of alternating light and dark squares) with a **blue border**.,none
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",Select the **gray circle filled with wavy zigzag lines and outlined with a reddish ring** (not a star or a curtain).,none
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",Select the **checkerboard pattern square** — a grid of alternating light and dark gray squares with a **blue border**.,none
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",Select the **square with a thick blue border** that’s filled with **gray-and-white wavy (zigzag) horizontal stripes**.,none
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",Select the **circle with a thick black outline** that’s filled with a **gray-and-white checkerboard** pattern.,none
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",Select the **circle filled with vertical gray stripes that has a red outline** (not the similar one with a blue outline).,none
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1","Select the **upright triangle with a thick blue outline**, filled with **vertical gray stripes** (not the wavy pattern).",none
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","Select the circle filled with gray wavy zigzag lines, outlined with a thick red ring.",none
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2","Select the square tile that shows **vertical gray stripes** (like a barcode), with a thin red border.",none
exp2_011.jpeg,cond4,present,present,2,square,black,"wavy, zigzag","1,3","Select the tile that shows a gray-and-white wavy zigzag pattern, framed by a thick black square border.",none
exp2_012.jpeg,cond1,absent,absent,4,"triangle, triangular",black,"wavy, zigzag","2,3",Select the **triangle** that has a **thick black outline** and a **gray wavy (zigzag) pattern** inside.,none
exp2_013.jpeg,cond2,absent,present,2,square,red,dot,"3,2","Select the **square tile with lots of small gray polka dots**, framed by a **solid red border** (not the checkerboard patterns).",none
exp2_014.jpeg,cond2,absent,present,4,star,red,checker,"3,2",Select the **five-point star with a red outline** and a **gray checkerboard pattern inside**.,none
exp2_015.jpeg,cond4,present,present,2,"triangle, triangular",green,dot,"3,2",Select the **triangle with a bright green outline** and a **light gray interior filled with small dark polka dots**.,none
