image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture,listener_answer,listener_thought,listener_answer_correct,listener_answer_note
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3","select the **triangle** that has **vertical gray stripes inside** (not the wavy pattern), outlined with a thick black border.","**Describing target object**

I need to describe the target object without using spatial references. Okay, so I have a grid that's 3x3. The visible objects include a middle-left triangle which has a wavy fill and a middle-right star with the same pattern, but for the bottom-right triangle, it features vertical gray stripes — that’s the target! I should make sure to highlight the outline as a thick black while avoiding any mention of wavy patterns.","['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,3 3,"**Clarifying grid specifications**

I need to set up a 3x3 grid and describe the shapes in it. So, for row 2, column 1, I have a wavy triangle; in row 2, column 3, a wavy star; and in row 3, column 3, there's a triangle with vertical stripes. My main target is the triangle with thick gray stripes located at row 3, column 3. I should provide the coordinates as ""3 3.""",TRUE,
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2","select the square tile showing a gray-and-white checkerboard pattern, framed by a thick blue border.","**Identifying target features**

I need to create a descriptive expression for the target object that's highlighted by a dashed red box. It has a unique appearance: checkered gray and white squares with a blue border. I should focus on its distinctive features without using any spatial references. I'm also considering other items accompanying it, such as one with a star-dotted design, another with a wavy pattern and a green border, and two unspecified curtains.",['square'],['checker'],TRUE,TRUE,TRUE,3 2,"**Providing tile position**

I need to provide just the column and row for the specified tile. It's a square tile, displaying a gray-white checkerboard inside a thick blue border, located in the middle right cell, which is row 2, column 3. So, I think the output should be ""3 2""—and I might need to remember the proper format, but I’ll stick with ""3 2"" for simplicity. I'll just confirm that!",TRUE,
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",select the **round circle icon** with a **reddish outline** and a **gray-and-white wavy (zigzag) pattern** filling the inside.,"**Describing target object**

I need to find a good way to refer to the object that's in the dashed red box. It's a circle with a red outline and a grey/white wavy pattern. I want to avoid any spatial references. Instead, I could just mention that it’s the only circle among the various objects. This should make it clear what I'm referring to without causing any confusion. I'll go ahead and provide that to others!","['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,1 3,"**Identifying grid position**

I need to find the column and row numbers for a specific target, which is a round circle icon with a reddish outline and a gray-white wavy zigzag inside. I'm working with a 3x3 grid based on the image, which clearly has 3 columns and 3 rows. The circle is located in the bottom left cell, specifically row 3, column 1. So, I’ll represent that as ""1 3"" since I only need the column and row numbers.",TRUE,
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",select the **square/rectangular tile with a blue border that’s filled with a gray-and-white checkerboard pattern**.,"**Describing visual elements**

I need to describe the target as a checkerboard square with a blue border without using spatial coordinates. I’ll mention it clearly as a square or rectangle featuring a grey and white check pattern, outlined in blue. Instead of saying ""bottom right,"" I'll refer to it simply as the ""blue-framed checkerboard square."" I also want to include different objects, like a triangle with polka dots, a green star with polka dots, and a blue star with stripes.",['square'],['checker'],TRUE,TRUE,TRUE,3 3,"**Designing a grid layout**

I'm considering how to set up a simple 3x3 grid. The object I need to describe is a square tile with a blue border, filled with a gray-white checkerboard pattern. I’ll place this tile specifically in the bottom right corner of the grid, which corresponds to column 3 and row 3. This layout should be straightforward, focusing just on the positioning without extra elements. It looks like a fun, orderly way to visualize this!",TRUE,
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",select the **blue-outlined square** that has a **gray-and-white wavy (zigzag) pattern** filling the inside.,"**Describing a target shape**

I need to describe my target accurately. It’s a square with a blue frame and this neat wavy gray and white pattern inside. I want to avoid overly descriptive spatial terms, so I’ll just say it that way. I’ll also mention other shapes like the triangle with a checkered pattern, a square with a red checkered border, and a star with stripes. It's important to provide a unique description for clarity!",['square'],"['wavy', 'zigzag']",TRUE,TRUE,TRUE,2 3,"**Creating grid layout**

I need to set up a 3x3 grid, which requires defining both columns and rows. I’m envisioning a blue-outlined square that features a gray-white wavy pattern. The specific cell I want to focus on is the bottom middle one, which is in column 2, row 3. I'm making sure to picture how this all fits together visually!",TRUE,
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the **circle with a thick black outline** that has a **gray-and-white checkerboard pattern inside** (not the red-outlined circle with wavy stripes).,"**Providing shape descriptions**

I need to describe a circle that has a black outline and a checkerboard fill. It's important to clarify that the description shouldn't relate to its spatial position. Also, there's another circle to mention, which is red with a wavy outline. So, I should specify that I'm focusing on the black-bordered circle with a checkerboard interior to ensure everything is clear and understood! This should help avoid any confusion.","['circle', 'circular']",['checker'],TRUE,TRUE,TRUE,2 1,"**Formatting grid output**

I need to identify both the column and row for this grid, which is 3x3. The circle has a thick black outline with a gray-white checkerboard inside, located at the top middle cell: row 1, column 2. The developer specified to provide the numbers in a certain format, which I think means I should just separate them with a comma. So, I'll go ahead and output ""2, 1."" That seems straightforward!",TRUE,
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",select the **striped circle with the red outline** (the other visible striped circle has a blue outline).,"**Describing grid layout**

I need to create a referential description for what looks like a grid with three columns and three rows. The top row is empty, the middle row features a curtain with a question mark on the left and right while the center remains empty. The bottom row has two circles: a left circle with a red outline and vertical grey stripes (the target) and a right circle with a blue outline and vertical grey stripes. I should specify to select the red-bordered circle.","['circle', 'circular']",['stripe'],TRUE,TRUE,TRUE,1 3,"**Determining grid coordinates**

I need to select a striped circle with a red outline on a 3x3 grid. The image actually shows 3 columns and 3 rows, with some objects. I see there are striped circles in the bottom row: column 1 has a red outline and column 3 has a blue outline. So, I’ll note that the coordinates for the striped circle I need are ""1 3"" or, perhaps better, ""1,3"". I'll be outputting ""1 3"".",TRUE,
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",select the **blue-outlined triangle** that’s filled with **vertical gray stripes** (not the wavy-pattern shapes or the star/circle).,"**Describing the target object**

I need to provide a clear description of the target object's features: it has a dashed red box surrounding it, and it's a blue triangle with vertical gray stripes inside. I want to avoid any spatial references. I'll also mention other objects in the scene, such as squares with a wavy pattern and shapes like stars and circles for context. That should help give a complete picture!","['triangle', 'triangular']",['stripe'],TRUE,TRUE,TRUE,3 1,"**Locating triangle coordinates**

I need to find the blue outlined triangle with vertical gray stripes in a 3x3 grid. I see it appears in the top right cell, which is column 3, row 1. To provide the coordinates, I think I'll output ""3 1"" since that seems to be what’s needed: just the column number followed by the row number. That should be clear and straightforward!",TRUE,
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1",select the **circle with a red outline** that’s filled with **gray-and-white wavy (zigzag) stripes**.,"**Crafting a unique description**

I'm looking to create a referential description that avoids any spatial references like ""top-left."" Instead, I’ll focus solely on visible objects. There’s a prominent wavy circle adorned with a red outline and a gray wavy stripe pattern, paired with a polka dot circle nearby. I should also include that there are two hidden curtains, even though they’re not directly visible. This way, I'll create a vivid yet non-spatial description that captures everything essential.","['circle', 'circular']","['wavy', 'zigzag']",TRUE,TRUE,TRUE,1 1,"**Creating a grid**

I’m working on a 3x3 grid, where I only need to focus on the columns and rows. In the top left cell (column 1, row 1), I want a circle outlined in red and filled with gray-white wavy stripes. I think I should mention it as “1 1” for clarity. It's essential to specify the column and row to ensure I'm being precise in my instructions!",TRUE,
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the tile that shows a **square “barcode-like” pattern**: **vertical light and dark gray stripes** inside a **thick red square frame**.,"**Describing target objects**

I need some clear instructions to select the target object. The highlighted tile is a square with vertical gray stripes inside a thick red border. To clarify, it looks a bit like a barcode. There's also a tile with polka dots, some of which are hidden behind curtains. I’ll make sure to provide a detailed description so that there’s no confusion! Let's try to get this right for better understanding.",['square'],['stripe'],TRUE,TRUE,TRUE,3 2,"**Designing tile layout**

I need to create a tile with square, barcode-like vertical stripes inside a thick red square frame. This design will go in the middle row, right column, which is ""col3 row2."" So, I’m marking that down as ""3 2."" This layout feels visually interesting! I want to make sure the stripes are well-defined within the thick red framing so it pops nicely in that grid position. Let's get started!",TRUE,
