image_file,condition,occlusion,distractor,non_target,target_shape,target_color,target_texture,target_location,speaker_answer,speaker_thought,target_shape_list,target_texture_list,contain_shape,contain_color,contain_texture
exp2_001.jpeg,cond2,absent,present,2,"triangle, triangular",black,stripe,"3,3",select the triangle that has vertical stripes inside (not the one with wavy lines).,"**Choosing expressions for shapes**

I’m thinking about some referring expressions for shapes. For instance, I might use ""vertical stripes triangle,"" which sounds clear and descriptive. Then there are other shapes, like a ""wavy triangle"" and a ""wavy star."" They definitely have their own unique designs. I wonder what more I could come up with! Maybe there are other interesting ways to describe shapes that could add even more flair to my expressions.","['triangle', 'triangular']",['stripe'],True,False,True
exp2_002.jpeg,cond4,present,present,4,square,blue,checker,"3,2",select the picture with the gray checkerboard pattern in a blue frame.,"**Describing visual elements**

I need to come up with a brief referring expression that avoids spatial words. The main focus is the gray checkerboard set within a blue frame. I also see other objects like a polka-dot star and some wavy lines in a green frame. There are two curtains in the scene, but I'm unsure about their details. It's kind of interesting to think about how to reference all this without being spatial!",['square'],['checker'],False,True,True
exp2_003.jpeg,cond3,present,absent,4,"circle, circular",red,"wavy, zigzag","1,3",pick the grey circle with the red outline and wavy stripes inside (the only circular patterned shape).,"**Describing target shapes**

I need a referring expression for the target, which is a grey wavy circle with a red border. I can't use spatial terms like ""bottom-left,"" so I should focus on unique descriptions. There are other objects present, like a blue-outlined transparent checker star, a black-outlined grey polka-dot star, and two hidden curtains that I want to exclude. Maybe I could phrase it as ""the only circle"" or highlight its ""wavy grey pattern"" and ""red rim.""","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_004.jpeg,cond1,absent,absent,3,square,blue,checker,"3,3",pick the square with a blue outline and a gray-and-white checkerboard pattern.,"**Describing a target square**

I’m working on providing a clear description for selecting a target. I want to refer to it as ""the only square with a blue outline and a checkered pattern."" This way, I avoid using spatial terms like ""rightmost."" I’ll also think about mentioning other shapes like stars and triangles to give a broader context. This description should help in identifying the target without any confusion!",['square'],['checker'],True,True,True
exp2_005.jpeg,cond2,absent,present,3,square,blue,"wavy, zigzag","2,3",pick the blue-outlined square with gray wavy lines inside.,"**Describing shapes and colors**

I'm trying to find a brief way to refer to a square that has a wavy gray interior and a blue border. It’s quite unique! I also notice other shapes: there's a triangle with a checker blue border, a square that features a checker red border, and a star with a striped blue border. I wonder how to communicate these descriptions in a simple, clear way for someone else to understand. Let's keep it concise!",['square'],"['wavy', 'zigzag']",True,True,True
exp2_006.jpeg,cond2,absent,present,4,"circle, circular",black,checker,"2,1",select the grey checkerboard circle with a thick black outline.,"**Describing shapes concisely**

I need a short expression to refer to a specific target shape: a grey checkerboard circle with a black border. For clarity, I might also mention variations like the red triangle checkerboard, blue star checkerboard, a red circle wavy, and the blue-bordered dotted square. So, my final description could be ""checkerboard circle with black outline"" or simply ""grey checkerboard circle."" I want it to be clear and focused for easy understanding!","['circle', 'circular']",['checker'],True,True,True
exp2_007.jpeg,cond4,present,present,3,"circle, circular",red,stripe,"1,3",pick the vertically striped circle with the red outline (not the one with the blue outline and not a curtain).,"**Describing visual elements**

I need to create a clear referring expression for the target object. The target is a striped circle with a red border, distinct from the distractor, which has blue stripes. I want to avoid using spatial descriptions for clarity. Instead of mentioning its position, I'll focus solely on the features: a striped circle with a red border, making sure to emphasize that it’s not the blue one or any unrelated curtains. This way, it's direct and straightforward!","['circle', 'circular']",['stripe'],True,True,True
exp2_008.jpeg,cond1,absent,absent,4,"triangle, triangular",blue,stripe,"3,1",pick the blue-outlined triangle with gray vertical stripes inside.,"**Describing shapes**

I need a brief expression to describe a blue triangle with vertical stripes, which makes it stand out from other shapes and patterns. It seems like a unique combination that might grab attention or evoke specific feelings. I wonder how this visual characteristic could be interpreted by someone else—do they see it as modern or playful? Let’s keep it simple yet descriptive to effectively convey the idea!","['triangle', 'triangular']",['stripe'],True,True,True
exp2_009.jpeg,cond4,present,present,2,"circle, circular",red,"wavy, zigzag","1,1","pick the gray circle that has a red outline and is filled with wavy zigzag lines, not the one with small dots.","**Describing visual elements**

I need to provide a clear description of a target. I want to differentiate between a wavy gray circle and a dotted gray circle while avoiding any spatial references. So, I’ll say something like, ""Select the gray circle filled with horizontal wavy stripes, featuring a red outline."" This way, I can emphasize both the color and the pattern contrast effectively, ensuring there's no confusion in the selection process.","['circle', 'circular']","['wavy', 'zigzag']",True,True,True
exp2_010.jpeg,cond3,present,absent,3,square,red,stripe,"3,2",select the picture with gray **vertical stripes** inside a **square red border** (not the dotted circle or any hidden curtain).,"**Choosing pattern descriptions**

I’m trying to come up with a brief way to describe the differences between a striped square and a polka-dot circle, while not mentioning the position. Something like, ""Pick the gray vertical stripes within a red square frame"" could work. I want to be clear and avoid anything that references spatial arrangements, so I'll focus on the colors and patterns to keep it simple and straight to the point.",['square'],['stripe'],True,True,True
