image_file,condition,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,position_word,obj1shape,obj1color,obj1pattern,obj2shape,obj2color,obj2pattern,obj3shape,obj3color,obj3pattern,question_speaker,question_free_speaker,question_listener_1,question_listener_2,speaker_answer,answer1,answer2
cond5_001.jpeg,cond5,blue,square,green,circle,color,shape,2,1,1,leftmost,square,blue,checked,circle,green,checked,circle,blue,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'blue' or 'square'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'Blue': 40  
'Square': 60",40,60
cond5_002.jpeg,cond5,spotted,circle,striped,square,pattern,shape,2,1,1,leftmost,circle,red,spotted,square,red,striped,square,red,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'spotted' or 'circle'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,"Bet: 'circle' $70, 'spotted' $30",30,70
cond5_003.jpeg,cond5,green,spotted,blue,striped,color,pattern,2,1,2,middle,triangle,green,striped,triangle,green,spotted,triangle,blue,striped,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'green' or 'spotted'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,"'green': 20  
'spotted': 80",20,80
cond5_004.jpeg,cond5,green,striped,blue,spotted,color,pattern,2,1,1,leftmost,triangle,green,striped,triangle,blue,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'striped'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"'Striped': $90  
'Green': $10",10,90
cond5_005.jpeg,cond5,green,striped,blue,spotted,color,pattern,2,1,1,leftmost,triangle,green,striped,triangle,blue,spotted,triangle,green,spotted,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'green' or 'striped'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'green' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,"'Striped': $90  
'Green': $10",10,90
cond5_006.jpeg,cond5,circle,blue,square,green,shape,color,2,1,2,middle,circle,green,checked,circle,blue,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'blue'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"'blue': 100
'circle': 0",0,100
cond5_007.jpeg,cond5,striped,blue,spotted,green,pattern,color,2,1,3,rightmost,triangle,green,spotted,triangle,green,striped,triangle,blue,striped,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'striped' or 'blue'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'striped' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"'blue': 100
'striped': 0",0,100
cond5_008.jpeg,cond5,spotted,square,striped,circle,pattern,shape,2,1,3,rightmost,circle,red,striped,circle,red,spotted,square,red,spotted,"Imagine you are talking to someone and you want to refer to the rightmost object. Which word would you use, 'spotted' or 'square'?",Imagine you are talking to someone and you want to refer to the rightmost object. What will you say?,Imagine someone is talking to you and uses the word 'spotted' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,"'square': 100
'spotted': 0",0,100
cond5_009.jpeg,cond5,square,blue,circle,green,shape,color,2,1,1,leftmost,square,blue,checked,circle,green,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the leftmost object. Which word would you use, 'square' or 'blue'?",Imagine you are talking to someone and you want to refer to the leftmost object. What will you say?,Imagine someone is talking to you and uses the word 'square' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"'blue': 90  
'square': 10",10,90
cond5_010.jpeg,cond5,circle,blue,square,green,shape,color,2,1,2,middle,circle,green,checked,circle,blue,checked,square,green,checked,"Imagine you are talking to someone and you want to refer to the middle object. Which word would you use, 'circle' or 'blue'?",Imagine you are talking to someone and you want to refer to the middle object. What will you say?,Imagine someone is talking to you and uses the word 'circle' to refer to one of the objects. Which object do you think they are talking about?,Imagine someone is talking to you and uses the word 'blue' to refer to one of the objects. Which object do you think they are talking about?,"'blue': 100
'circle': 0",0,100
