image_file,condition,occlusion,distractor,non_target,speaker_answer,feature,shape,color,texture
exp2_001.jpeg,cond2,absent,present,2,Please select the triangle that has vertical stripes inside it.,2,yes,no,yes
exp2_002.jpeg,cond4,present,present,4,Please select the object with the gray and white checkerboard pattern.,1,no,no,yes
exp2_003.jpeg,cond3,present,absent,4,Please select the object that is a circle with a wavy gray and white pattern.,2,yes,no,yes
exp2_004.jpeg,cond1,absent,absent,3,Please select the object that has a blue border and a checkered pattern.,2,no,yes,yes
exp2_005.jpeg,cond2,absent,present,3,Please select the square with the wavy pattern.,2,yes,no,yes
exp2_006.jpeg,cond2,absent,present,4,Please select the circle with a black and white checkerboard pattern.,2,yes,no,yes
exp2_007.jpeg,cond4,present,present,3,Please select the striped circle that does NOT have a blue outline.,3,yes,yes,yes
exp2_008.jpeg,cond1,absent,absent,4,Please select the blue-outlined triangle with vertical stripes.,3,yes,yes,yes
exp2_009.jpeg,cond4,present,present,2,"Please select the circle with the wavy line pattern. It is not the one with dots, and it is not hidden behind a curtain.",2,yes,no,yes
exp2_010.jpeg,cond3,present,absent,3,Please select the object that has vertical gray and white stripes inside a square frame.,2,yes,no,yes
exp2_011.jpeg,cond4,present,present,2,Please select the square with the wavy line pattern. It is different from the one with vertical stripes.,2,yes,no,yes
exp2_012.jpeg,cond1,absent,absent,4,Please select the object that is a triangle with a wavy pattern inside.,2,yes,no,yes
exp2_013.jpeg,cond2,absent,present,2,"Please select the square with the pattern of evenly spaced gray dots. It is not a checkerboard pattern, and it is not circular.",2,yes,no,yes
exp2_014.jpeg,cond2,absent,present,4,Please select the star that has a checkered pattern inside and a red outline.,3,yes,yes,yes
exp2_015.jpeg,cond4,present,present,2,Please select the triangle that has a green outline and is filled with gray dots.,3,yes,yes,yes
exp2_016.jpeg,cond1,absent,absent,2,Please select the square object that has a pattern of gray dots on a white background.,2,yes,no,yes
exp2_017.jpeg,cond3,present,absent,4,Please select the object that has vertical gray and white stripes inside a green star outline.,3,yes,yes,yes
exp2_018.jpeg,cond3,present,absent,3,Please select the object that is a star with a blue outline and gray polka dots.,3,yes,yes,yes
exp2_019.jpeg,cond4,present,present,3,Please select the triangle that has a red outline and is filled with a pattern of gray dots.,3,yes,yes,yes
exp2_020.jpeg,cond4,present,present,3,Please select the triangle that has a pattern of small dots inside it.,2,yes,no,yes
exp2_021.jpeg,cond1,absent,absent,3,Please select the gray striped triangle with a red outline.,3,yes,yes,yes
exp2_022.jpeg,cond1,absent,absent,4,Please select the object that is a square with vertical black and gray stripes.,2,yes,no,yes
exp2_023.jpeg,cond2,absent,present,4,Please select the circle with a green outline and a polka dot pattern inside.,3,yes,yes,yes
exp2_024.jpeg,cond2,absent,present,2,Please select the triangle with a green outline and vertical stripes inside.,3,yes,yes,yes
exp2_025.jpeg,cond3,present,absent,2,Please select the object that is a star with a blue outline and gray polka dots.,3,yes,yes,yes
exp2_026.jpeg,cond4,present,present,2,Please select the star that has a checkered pattern inside it.,2,yes,no,yes
exp2_027.jpeg,cond3,present,absent,2,Please select the object that is a blue star with a checkered pattern inside.,3,yes,yes,yes
exp2_028.jpeg,cond2,absent,present,3,Please select the triangle with a blue outline and a dotted pattern.,3,yes,yes,yes
exp2_029.jpeg,cond1,absent,absent,4,Select the object that is a circle with a wavy pattern and a red outline.,3,yes,yes,yes
exp2_030.jpeg,cond2,absent,present,3,Please select the circle with a green outline and a wavy pattern inside.,3,yes,yes,yes
exp2_031.jpeg,cond3,present,absent,3,Please select the object that is a circle with a green outline and a black-and-white checkerboard pattern inside.,3,yes,yes,yes
exp2_032.jpeg,cond3,present,absent,4,Please select the object that is a triangle with vertical black and white stripes and a red outline.,3,yes,yes,yes
exp2_033.jpeg,cond1,absent,absent,3,Please select the green star with vertical stripes.,3,yes,yes,yes
exp2_034.jpeg,cond4,present,present,4,Please select the square object with a pattern of gray dots.,2,yes,no,yes
exp2_035.jpeg,cond4,present,present,3,Please select the star with a black outline and gray polka dots.,3,yes,yes,yes
exp2_036.jpeg,cond2,absent,present,4,Please select the star that has a green outline and is filled with gray polka dots.,3,yes,yes,yes
exp2_037.jpeg,cond3,present,absent,3,Please select the object that is a triangle with a wavy pattern inside.,2,yes,no,yes
exp2_038.jpeg,cond3,present,absent,2,Please select the object that is a circle with vertical black and white stripes.,2,yes,no,yes
exp2_039.jpeg,cond4,present,present,4,Please select the triangle with a blue outline and a wavy gray pattern inside.,3,yes,yes,yes
exp2_040.jpeg,cond1,absent,absent,4,Please select the square object with vertical stripes and a blue border.,3,yes,yes,yes
exp2_041.jpeg,cond4,present,present,2,Please select the circle with gray dots that has a thin red outline.,3,yes,yes,yes
exp2_042.jpeg,cond1,absent,absent,3,Please select the object that is a circle with a wavy pattern inside.,2,yes,no,yes
exp2_043.jpeg,cond2,absent,present,4,Please select the green star that has a wavy black and white pattern inside.,3,yes,yes,yes
exp2_044.jpeg,cond3,present,absent,3,"Please select the object that has a pattern of small gray dots, similar to the one with a green outline in the top row.",2,no,yes,yes
exp2_045.jpeg,cond1,absent,absent,2,Please select the object that is a triangle with vertical stripes.,2,yes,no,yes
exp2_046.jpeg,cond2,absent,present,4,Please select the star that has a red outline and a wavy pattern inside.,3,yes,yes,yes
exp2_047.jpeg,cond4,present,present,3,Please select the object that has vertical black and white stripes.,1,no,no,yes
exp2_048.jpeg,cond2,absent,present,3,Please select the square with vertical gray and white stripes that does NOT have a blue border.,3,yes,yes,yes
exp2_049.jpeg,cond4,present,present,3,Please select the square object with vertical gray and white stripes that has a green border.,3,yes,yes,yes
exp2_050.jpeg,cond3,present,absent,3,Please select the object that is a star with red and gray stripes.,3,yes,yes,yes
exp2_051.jpeg,cond1,absent,absent,3,Please select the black-outlined triangle with wavy stripes.,3,yes,yes,yes
exp2_052.jpeg,cond3,present,absent,3,Please select the object that is a triangle with a checkered pattern inside.,2,yes,no,yes
exp2_053.jpeg,cond1,absent,absent,3,Please select the object that is a triangle with vertical stripes.,2,yes,no,yes
exp2_054.jpeg,cond2,absent,present,4,Please select the triangle with a checkered pattern.,2,yes,no,yes
exp2_055.jpeg,cond1,absent,absent,2,Please select the gray triangle with blue outline and polka dots.,3,yes,yes,yes
exp2_056.jpeg,cond2,absent,present,3,Please select the blue triangle with a wavy pattern inside.,3,yes,yes,yes
exp2_057.jpeg,cond4,present,present,3,Please select the triangle with a blue outline and a wavy gray pattern inside.,3,yes,yes,yes
exp2_058.jpeg,cond3,present,absent,2,Please select the object that is a circle with a green outline and gray polka dots inside.,3,yes,yes,yes
exp2_059.jpeg,cond3,present,absent,3,Please select the object that has a star shape with a wavy pattern inside.,2,yes,no,yes
exp2_060.jpeg,cond1,absent,absent,2,Please select the object that is a circle with a wavy line pattern inside.,2,yes,no,yes
exp2_061.jpeg,cond3,present,absent,2,Please select the object that is a star with green edges and gray stripes inside.,,,,
exp2_062.jpeg,cond1,absent,absent,4,Please select the shape that is a square with a green border and a pattern of gray dots inside.,,,,
exp2_063.jpeg,cond2,absent,present,2,Please select the triangle that has vertical stripes.,,,,
exp2_064.jpeg,cond1,absent,absent,3,Please select the object that is a star shape with a red outline and a pattern of gray dots inside.,,,,
exp2_065.jpeg,cond3,present,absent,2,"Please select the object that has a checkerboard pattern with alternating gray and white squares, outlined in blue.",,,,
exp2_066.jpeg,cond2,absent,present,4,Please select the object that is a circle with a polka dot pattern inside.,,,,
exp2_067.jpeg,cond4,present,present,3,Please select the wavy pattern that does NOT have a red border around it.,,,,
exp2_068.jpeg,cond4,present,present,4,Please select the star with a black outline and vertical stripes.,,,,
exp2_069.jpeg,cond2,absent,present,2,Please select the square with the green border that has a pattern of gray dots on a white background.,,,,
exp2_070.jpeg,cond1,absent,absent,4,Please select the square with a checkerboard pattern.,,,,
exp2_071.jpeg,cond4,present,present,3,Please select the checkerboard pattern that has a thick black border.,,,,
exp2_072.jpeg,cond3,present,absent,2,Please select the object that is a star with vertical stripes.,,,,
exp2_073.jpeg,cond4,present,present,2,Please select the star that has a green outline and vertical gray stripes inside.,,,,
exp2_074.jpeg,cond2,absent,present,3,Please select the square that has a wavy line pattern inside it.,,,,
exp2_075.jpeg,cond1,absent,absent,2,Please select the star-shaped object with a wavy pattern inside and a red outline.,,,,
exp2_076.jpeg,cond1,absent,absent,2,Please select the object that is a triangle with vertical stripes and a green outline.,,,,
exp2_077.jpeg,cond3,present,absent,3,Please select the object that is a circle with vertical stripes and a blue outline.,,,,
exp2_078.jpeg,cond4,present,present,4,Please select the triangle with vertical stripes and a red outline.,,,,
exp2_079.jpeg,cond2,absent,present,4,Please select the circle with a green outline and a polka dot pattern inside.,,,,
exp2_080.jpeg,cond3,present,absent,3,Please select the object that is a triangle with a blue outline and is filled with gray polka dots.,,,,
exp2_081.jpeg,cond2,absent,present,4,Please select the green triangle with a checkered pattern inside.,,,,
exp2_082.jpeg,cond3,present,absent,2,Please select the object that is a triangle with vertical stripes and a green outline.,,,,
exp2_083.jpeg,cond1,absent,absent,3,Please select the star-shaped object with a red outline and a pattern of gray dots inside.,,,,
exp2_084.jpeg,cond4,present,present,4,"Please select the wavy-patterned circle with a black outline. It looks identical to the wavy-patterned circle with a green outline, except the outline is black.",,,,
exp2_085.jpeg,cond3,present,absent,2,Please select the object that is a triangle with a green outline and wavy gray and white stripes inside.,,,,
exp2_086.jpeg,cond4,present,present,3,Please select the star that is black and white with a polka dot pattern.,,,,
exp2_087.jpeg,cond2,absent,present,3,Please select the star with a checkered pattern inside.,,,,
exp2_088.jpeg,cond1,absent,absent,4,Please select the object that is a circle with a red outline and a checkered pattern inside.,,,,
exp2_089.jpeg,cond3,present,absent,4,"Please select the object that has a pattern of evenly spaced gray dots on a white background, enclosed by a black border. It is not a star shape like the other visible objects.",,,,
exp2_090.jpeg,cond3,present,absent,3,Please select the object that is a triangle with a green outline and filled with black dots.,,,,
exp2_091.jpeg,cond1,absent,absent,3,Please select the object that is a square with a wavy pattern.,,,,
exp2_092.jpeg,cond2,absent,present,3,Please select the triangle with a red outline and a pattern of gray dots inside.,,,,
exp2_093.jpeg,cond4,present,present,3,Please select the square that has a pattern of wavy horizontal lines.,,,,
exp2_094.jpeg,cond2,absent,present,4,Please select the star with a green outline and a polka dot pattern inside.,,,,
exp2_095.jpeg,cond1,absent,absent,2,Please select the object that is a circle with a blue outline and a pattern of gray dots inside.,,,,
exp2_096.jpeg,cond4,present,present,4,Please select the star with a green outline and a polka dot pattern inside.,,,,
exp2_097.jpeg,cond3,present,absent,3,Please select the object that has vertical black and white stripes inside a black-bordered square.,,,,
exp2_098.jpeg,cond1,absent,absent,2,Please select the object that is a square with vertical black and white stripes and a blue border.,,,,
exp2_099.jpeg,cond2,absent,present,3,Please select the circle with a green outline and a wavy pattern inside.,,,,
exp2_100.jpeg,cond4,present,present,2,Please select the object that has a pattern of evenly spaced dots.,,,,
exp2_101.jpeg,cond4,present,present,2,Please select the circle with the checkerboard pattern inside it.,,,,
exp2_102.jpeg,cond1,absent,absent,4,Please select the object that has a checkered pattern and is not a triangle.,,,,
exp2_103.jpeg,cond3,present,absent,2,"Please select the object that has a square shape with a pattern of evenly spaced gray dots. It is not hidden behind a curtain, and it is not circular.",,,,
exp2_104.jpeg,cond2,absent,present,2,Please select the green-outlined circle with vertical stripes.,,,,
exp2_105.jpeg,cond4,present,present,3,Please select the triangle that has a pattern of dots inside it.,,,,
exp2_106.jpeg,cond4,present,present,4,Please select the triangle with a green outline that has a pattern of gray dots inside.,,,,
exp2_107.jpeg,cond1,absent,absent,4,Please select the red triangle with a wavy pattern inside.,,,,
exp2_108.jpeg,cond3,present,absent,4,"Please select the square object with a wavy gray and white pattern. It matches the pattern inside the blue-circled object, but it is not a circle.",,,,
exp2_109.jpeg,cond3,present,absent,2,Please select the shape that is a triangle with a dotted pattern inside.,,,,
exp2_110.jpeg,cond2,absent,present,2,Please select the triangle with a green outline and a pattern of gray dots inside.,,,,
exp2_111.jpeg,cond1,absent,absent,4,Please select the object that is a triangle with a wavy pattern inside and a green outline.,,,,
exp2_112.jpeg,cond2,absent,present,4,Please select the circle with the wavy pattern.,,,,
exp2_113.jpeg,cond3,present,absent,2,Please select the gray circle with a wavy pattern inside.,,,,
exp2_114.jpeg,cond1,absent,absent,2,Please select the square object with a wavy gray and white pattern.,,,,
exp2_115.jpeg,cond2,absent,present,4,Please select the triangle that has a green outline and is filled with a pattern of gray dots.,,,,
exp2_116.jpeg,cond3,present,absent,2,Please select the object that is a star with vertical stripes.,,,,
exp2_117.jpeg,cond4,present,present,2,Please select the black star with a wavy pattern inside.,,,,
exp2_118.jpeg,cond2,absent,present,3,Please select the star shape that has a polka dot pattern inside and a thick black outline.,,,,
exp2_119.jpeg,cond1,absent,absent,4,Please select the object that is a triangle with a polka dot pattern.,,,,
exp2_120.jpeg,cond4,present,present,3,Please select the square with vertical black and white stripes.,,,,
